#flows,iteration,r_threshold,imr_threshold,is_correlated,#case_detect,len(class_dict)
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.26,1,1,1
4000,8,0.25,0.26,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,0,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,0,1,1
4000,8,0.25,0.31,1,1,1
4000,8,0.25,0.31,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,0,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.01,1,1,1
4000,9,0.25,0.01,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,0,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.06,1,1,1
4000,9,0.25,0.06,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,0,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.11,1,1,1
4000,9,0.25,0.11,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,0,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.16,1,1,1
4000,9,0.25,0.16,0,1,1
4000,9,0.25,0.21,0,0,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.21,1,1,1
4000,9,0.25,0.21,0,1,1
4000,9,0.25,0.26,0,0,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.26,1,1,1
4000,9,0.25,0.26,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,0,1,1
4000,9,0.25,0.31,1,1,1
4000,9,0.25,0.31,0,1,1
