#flows,iteration,r_threshold,imr_threshold,p_t,topk,is_correlated,#case_detect,len(class_dict)
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.1,2,1,1,1
4000,11,0.2,0.1,0.1,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,0,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,0,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.2,2,1,1,1
4000,11,0.2,0.1,0.2,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,0,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,0,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,11,0.2,0.1,0.4,2,1,1,1
4000,11,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,0,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.0001,2,1,1,1
4000,12,0.2,0.1,0.0001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,0,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,0,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,0,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,0,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,0,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,0,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.001,2,1,1,1
4000,12,0.2,0.1,0.001,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,0,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,0,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.01,2,1,1,1
4000,12,0.2,0.1,0.01,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,0,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.1,2,1,1,1
4000,12,0.2,0.1,0.1,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,0,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.2,2,1,1,1
4000,12,0.2,0.1,0.2,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,0,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,0,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,0,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,0,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,0,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,0,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,12,0.2,0.1,0.4,2,1,1,1
4000,12,0.2,0.1,0.4,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.0001,2,0,0,1
4000,13,0.2,0.1,0.0001,2,1,1,1
4000,13,0.2,0.1,0.0001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,0,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,0,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,0,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,0,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,0,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,0,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,0,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.001,2,1,1,1
4000,13,0.2,0.1,0.001,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,0,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,0,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
4000,13,0.2,0.1,0.01,2,1,1,1
4000,13,0.2,0.1,0.01,2,0,1,1
